Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo_venta;Rem;Horario;Tipo_servicio;Fecha_extraccion
SANTA CRUZ DE TENERIFE;CUESTA LA        ;38320;AVENIDA LOS MENCEYES 223;D;01 08 2020 1353;0,758;PCAN;P;dm;LD 24H;LD 24H  A ;01 08 2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38200;CARRETERA TF111 KM 8 346;D;01 08 2020 0900;0,759;OCEANO;P;dm;LS 06002200 D 07002200;LS 06002200  A  D 07002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38110;CALLE LAURA GROTE DE LA PUERTA 2;D;27 07 2020 1202;0,769;GMOIL;P;dm;LV 24H S 06002000 D 08001500;LV 24H  A  S 06002000  A  D 08001500  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38010;POLIGONO EL MAYORAZGO SN;N;29 07 2020 0000;0,789;TGASTU TREBOL;P;dm;LS 07302100 D 08001400;LS 07302100  A  D 08001400  A ;01 08 2020
SANTA CRUZ DE TENERIFE;ADEJE          ;38670;CALLE CHARFA ESQUINA AVENIDA LAS PALMITAS SN;D;27 07 2020 1159;0,789;GMOIL;P;dm;LS 07002200 D 09001600;LS 07002200  A  D 09001600  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE  ;38010;CALLE SUBIDA AL MAYORAZGO 7;D;27 07 2020 0934;0,789;CANARY OIL S L ;P;dm;LD 24H;LD 24H  A ;01 08 2020
MELILLA;MELILLA         ;52005;PLAZA MARTIN DE CORDOBA 17;D;22 07 2020 0300;0,818;SHELL;P;dm;LS 07002300;LS 07002300  A ;01 08 2020
MELILLA;MELILLA         ;52001;CALLE ALFONSO XIII 84;N;30 07 2020 0000;0,818;SHELL ALFONSO XIII;P;OM;LD 07002300;LD 07002300  A ;01 08 2020
MELILLA;MELILLA         ;52001;CALLE MARQUEZ MONTEMAR ESQ CARLOS V SN;N;30 07 2020 0000;0,818;SHELL CARLOS V;P;OM;LD 07002300;LD 07002300  P ;01 08 2020
MELILLA;MELILLA         ;52001;CALLE ACTOR TALLAVI SN;N;30 07 2020 0000;0,818;SHELL PUENTE TRIANA;P;OM;LD 07002300;LD 07002300  A ;01 08 2020
MELILLA;MELILLA         ;52006;GENERAL POLAVIEJA N 2;D;22 07 2020 0300;0,818;SHELL;P;dm;LS 07000200;LS 07000200  A ;01 08 2020
MELILLA;MELILLA         ;52001;ALFEREZ PROVISIONALES SN;D;22 07 2020 0300;0,818;SHELL;P;dm;LS 07002300;LS 07002300  A ;01 08 2020
MELILLA;MELILLA         ;52006;PASEO DE LAS MARGARITAS 21;D;29 07 2020 0000;0,819;CEPSA;P;OM;LS 07002300;LS 07002300  A ;01 08 2020
MELILLA;MELILLA         ;52006;ZONA SERVICIO DEL PUERTO DE MELILLA SN;D;29 07 2020 0700;0,819;CEPSA;P;dm;LS 07302330;LS 07302330  A ;01 08 2020
MELILLA;MELILLA         ;52006;CALLE GENERAL ASTILLEROS 89;D;30 07 2020 1230;0,819;BP;P;dm;LS 06452300;LS 06452300  A ;01 08 2020
MELILLA;MELILLA         ;52006;CALLE GENERAL POLAVIEJA 1;N;30 07 2020 1228;0,819;BP PUENTE;P;dm;LS 07000000;LS 07000000  A ;01 08 2020
MELILLA;MELILLA         ;52002;CALLE GARCIA CABRELLES 42;D;30 07 2020 1857;0,819;BP;P;dm;L 07302300;L 07302300  A ;01 08 2020
MELILLA;MELILLA         ;52001;CALLE GENERAL ASTILLEROS 2;D;29 07 2020 0000;0,819;CEPSA;P;OM;LS 08002300;LS 08002300  A ;01 08 2020
MELILLA;MELILLA         ;52006;CALLE ASTILLEROS GENERAL 99;I;27 07 2020 1229;0,834;CEPSA;P;dm;LS 07002330;LS 07002330  A ;01 08 2020
SANTA CRUZ DE TENERIFE;EL ROSARIO;38190;CARRETERA CARRETERA GENERAL DEL SUR KM 9 2;N;30 07 2020 1500;0,839;DISA EL CHORRILLO;P;OM;LD 06002200;LV 06001700  P   17002200  A  SD 06002200  A ;01 08 2020
SANTA CRUZ DE TENERIFE;SAN CRISTOBAL      ;38206;CAMINO DE LA VILLA 175;I;27 07 2020 1053;0,839;ES TAXLAGUNA ;P;dm;LD 06302200;;01 08 2020
