Num;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Total Cases per 1M pop;Deaths per 1M pop;Total Tests;Tests per 1M pop;Population 
0;Europe;3,543,710;10,493;207,347;149;2,063,335;1,273,028;5,619;;;;;
1;Russia;990,326;4,98;17,093;68;806,982;166,251;2,3;6,786;117;36,400,000;249,409;145,944,843
2;Spain;455,621;;29,011;;N/A;N/A;751;9,744;620;8,517,446;182,161;46,757,783
3;UK;332,752;;41,498;;N/A;N/A;60;4,897;611;16,273,209;239,508;67,944,393
4;France;272,530;;30,602;;86,177;155,751;387;4,174;469;6,175,223;94,571;65,297,356
5;Italy;266,853;;35,473;;208,224;23,156;79;4,415;587;8,509,618;140,778;60,447,003
6;Germany;242,825;;9,363;;217,484;15,978;245;2,897;112;11,208,091;133,703;83,828,051
7;Ukraine;119,074;2,096;2,527;35;56,734;59,813;177;2,725;58;1,536,171;35,161;43,689,434
8;Romania;86,785;952;3,578;39;37,665;45,542;492;4,516;186;1,795,633;93,445;19,216,003
9;Belgium;84,599;647;9,891;5;18,403;56,305;72;7,294;853;2,261,043;194,953;11,597,901
10;Sweden;83,958;;5,821;;N/A;N/A;21;8,305;576;1,094,856;108,299;10,109,546
11;Belarus;71,523;;671;;70,207;645;;7,57;71;1,517,128;160,563;9,448,806
12;Netherlands;69,632;;6,224;;N/A;N/A;38;4,062;363;1,455,274;84,9;17,141,131
13;Poland;66,87;631;2,033;1;46,192;18,645;85;1,767;54;2,660,665;70,314;37,839,707
14;Portugal;57,448;;1,818;;41,766;13,864;40;5,637;178;1,976,482;193,93;10,191,733
15;Switzerland;42,014;292;2,005;;35,2;4,809;18;4,849;231;1,010,948;116,671;8,664,924
16;Moldova;36,404;;990;;25,139;10,275;575;9,028;246;207,925;51,564;4,032,396
17;Serbia;31,282;;710;;29,825;747;40;3,583;81;920,852;105,464;8,731,464
18;Ireland;28,72;;1,777;;23,364;3,579;5;5,806;359;824,712;166,721;4,946,665
19;Austria;27,166;181;733;;23,07;3,363;30;3,013;81;1,172,092;130,019;9,014,800
20;Czechia;24,094;;421;;17,541;6,132;32;2,249;39;891,14;83,189;10,712,264
21;Bosnia and Herzegovina;19,55;;594;;12,858;6,098;;5,965;181;183,974;56,135;3,277,374
22;Denmark;16,779;;624;;14,989;1,166;4;2,895;108;2,400,103;414,128;5,795,557
23;Bulgaria;16,164;;605;;11,253;4,306;61;2,329;87;403,213;58,103;6,939,586
24;North Macedonia;14,293;;596;;11,014;2,683;3;6,861;286;147,002;70,56;2,083,360
25;Norway;10,611;;264;;9,348;999;1;1,955;49;686,202;126,416;5,428,131
26;Croatia;10,123;262;184;1;7,212;2,727;13;2,468;45;166,638;40,634;4,100,994
27;Greece;9,977;;260;;3,804;5,913;36;958;25;931,002;89,395;10,414,489
28;Albania;9,279;;275;;5,02;3,984;19;3,225;96;56,815;19,746;2,877,274
29;Finland;8,077;28;335;;7,2;542;1;1,457;60;637,159;114,966;5,542,144
30;Luxembourg;6,625;;124;;7,14;-639;2;10,556;198;633,773;1,009,847;627,593
31;Hungary;5,961;292;614;;3,759;1,588;7;617;64;424,27;43,937;9,656,250
32;Montenegro;4,727;;93;;3,839;795;;7,526;148;48,03;76,471;628,079
33;Slovakia;3,876;34;33;;2,278;1,565;11;710;6;334,344;61,234;5,460,081
34;Lithuania;2,874;35;86;;1,837;951;5;1,058;32;637,509;234,745;2,715,752
35;Slovenia;2,865;31;133;;2,283;449;2;1,378;64;158,236;76,112;2,078,985
36;Estonia;2,373;10;64;;2,088;221;;1,789;48;147,902;111,483;1,326,683
37;Iceland;2,1;;10;;1,979;111;;6,147;29;212,169;621,096;341,604
38;Malta;1,847;;11;;1,244;592;;4,181;25;186,644;422,523;441,737
39;Latvia;1,393;12;34;;1,163;196;1;740;18;250,709;133,169;1,882,635
40;Andorra;1,124;;53;;902;169;3;14,544;686;137,457;1,778,573;77,285
41;San Marino;710;;42;;658;10;;20,917;1,237;6,678;196,742;33,943
42;Channel Islands;625;;48;;545;32;;3,589;276;68,985;396,188;174,122
43;Faeroe Islands;411;;;;362;49;2;8,406;;92,895;1,899,926;48,894
44;Isle of Man;336;;24;;312;0;;3,948;282;9,84;115,619;85,107
45;Gibraltar;285;10;;;228;57;;8,46;;34,102;1,012,259;33,689
46;Monaco;130;;1;;89;40;1;3,309;25;51,953;1,322,397;39,287
47;Liechtenstein;107;;1;;97;9;;2,805;26;900;23,594;38,146
48;Vatican City;12;;;;12;0;;14,981;;;;801
