"pais";"valor";"indicador"
"Ukraine";"23,3";"2010|Internet_por"
"Kuwait";"3100000";"2018|Facebook"
"Iraq";"2,5";"2010|Internet_por"
"Hong Kong SAR, China";"3408240";"2010|Facebook"
"Ireland";"1597000";"2010|Facebook"
"Kuwait";"99,59999254";"2018|Internet_por"
"Estonia";"227420";"2010|Facebook"
"Japan";"71000000";"2018|Facebook"
"United States";"71,69";"2010|Internet_por"
"Switzerland";"83,9";"2010|Internet_por"
"United States";"  309326  ";"2010|poblacion"
"Arab Rep. Egypt";"  82761  ";"2010|poblacion"
"Vietnam";"1019120";"2010|Facebook"
"Rwanda";"  10039  ";"2010|poblacion"
"Rwanda";"  12301  ";"2018|poblacion"
"Bahamas, The";"43";"2010|Internet_por"
"United Arab Emirates";"68";"2010|Internet_por"
"Mauritius";"58,5961697";"2018|Internet_por"
"Colombia";"29000000";"2018|Facebook"
"Italy";"  60431  ";"2018|poblacion"
"France";"77,28";"2010|Internet_por"
"United Kingdom";"  62766  ";"2010|poblacion"
"Qatar";"  2781  ";"2018|poblacion"
"Taiwan";"6745160";"2010|Facebook"
"Jordan";"27,2";"2010|Internet_por"
"Estonia";"74,1";"2010|Internet_por"
"Croatia";"1192160";"2010|Facebook"
"Iraq";"  38433  ";"2018|poblacion"
"Romania";"  19473  ";"2018|poblacion"
"United Kingdom";"85";"2010|Internet_por"
"Greece";"72,9520942";"2018|Internet_por"
"Bahrain";"98,64342901";"2018|Internet_por"
"Ukraine";"9500000";"2018|Facebook"
"Greece";"44,4";"2010|Internet_por"
"Slovak Republic";"75,71";"2010|Internet_por"
"Belgium";"3505920";"2010|Facebook"
"Indonesia";"39,78748305";"2018|Internet_por"
"Algeria";"  35977  ";"2010|poblacion"
"Spain";"86,10723553";"2018|Internet_por"
"Switzerland";"2234380";"2010|Facebook"
"United Kingdom";"44000000";"2018|Facebook"
"Mauritius";"28,33";"2010|Internet_por"
"Uzbekistan";"  28562  ";"2010|poblacion"
"Tunisia";"6400000";"2018|Facebook"
"Australia";"9009660";"2010|Facebook"
"Uganda";"2600000";"2018|Facebook"
"Bahrain";"55";"2010|Internet_por"
"Canada";"  34004  ";"2010|poblacion"
"Malta";"320000";"2018|Facebook"
"Morocco";"1849740";"2010|Facebook"
"Sweden";"  10183  ";"2018|poblacion"
"Finland";"88,88996";"2018|Internet_por"
"Finland";"86,89";"2010|Internet_por"
"Morocco";"52";"2010|Internet_por"
"Brazil";"  209469  ";"2018|poblacion"
"Korea, Rep.";"  49554  ";"2010|poblacion"
"Slovak Republic";"  5391  ";"2010|poblacion"
"India";"300000000";"2018|Facebook"
"Bangladesh";"  147575  ";"2010|poblacion"
"Uzbekistan";"15,9";"2010|Internet_por"
"India";"  1352617  ";"2018|poblacion"
"Slovak Republic";"80,66033556";"2018|Internet_por"
"Vietnam";"30,65";"2010|Internet_por"
"Uzbekistan";"52,3";"2018|Internet_por"
"Spain";"23000000";"2018|Facebook"
"Venezuela, RB";"13000000";"2018|Facebook"
"Turkey";"71,04276107";"2018|Internet_por"
"Mexico";"65,77263448";"2018|Internet_por"
"Bangladesh";"  161356  ";"2018|poblacion"
"Egypt, Arab Rep.";"46,92433809";"2018|Internet_por"
"Sweden";"  9378  ";"2010|poblacion"
"Spain";"  46576  ";"2010|poblacion"
"China";"  1337705  ";"2010|poblacion"
"Tunisia";"64,19081023";"2018|Internet_por"
"Germany";"  81776  ";"2010|poblacion"
"Colombia";"  49648  ";"2018|poblacion"
"China";"  1392730  ";"2018|poblacion"
"Italy";"16647260";"2010|Facebook"
"South Africa";"  51216  ";"2010|poblacion"
"United Arab Emirates";"  9630  ";"2018|poblacion"
"United States";"88";"2018|Internet_por"
"Qatar";"69";"2010|Internet_por"
"United Kingdom";"  66488  ";"2018|poblacion"
"Chile";"13000000";"2018|Facebook"
"Saudi Arabia";"  33699  ";"2018|poblacion"
"Slovenia";"79,7499766";"2018|Internet_por"
"Australia";"  22031  ";"2010|poblacion"
"Mexico";"12978440";"2010|Facebook"
"Turkey";"22552540";"2010|Facebook"
